DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
001208575,03/14/2013,03/11/2013,1800,12,77th Street,1241,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0446 1243 2000,30,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,6300    BRYNHURST                    AV,,"(33.9829, -118.3338)"
102005556,01/25/2010,01/22/2010,2300,20,Olympic,2071,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,VAN NESS,15TH,"(34.0454, -118.3157)"
0418,03/19/2013,03/18/2013,2030,18,Southeast,1823,510,VEHICLE - STOLEN,,12,,,101,STREET,,,IC,Invest Cont,510,,,,200 E  104TH                        ST,,"(33.942, -118.2717)"
101822289,11/11/2010,11/10/2010,1800,18,Southeast,1803,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,88TH,WALL,"(33.9572, -118.2717)"
042104479,01/11/2014,01/04/2014,2300,21,Topanga,2133,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,84,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745,,,,7200    CIRRUS                       WY,,"(34.2009, -118.6369)"
120125367,01/08/2013,01/08/2013,1400,01,Central,0111,110,CRIMINAL HOMICIDE,1243 2000 1813 1814 2002 0416 0400,49,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110,,,,600 N  HILL                         ST,,"(34.0591, -118.2412)"
101105609,01/28/2010,01/27/2010,2230,11,Northeast,1125,510,VEHICLE - STOLEN,,,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,YORK,AVENUE 51,"(34.1211, -118.2048)"
101620051,11/11/2010,11/07/2010,1600,16,Foothill,1641,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,EL DORADO,TRUESDALE,"(34.241, -118.3987)"
101910498,04/07/2010,04/07/2010,1600,19,Mission,1902,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,GLENOAKS,DRELL,"(34.3147, -118.4589)"
120908292,03/29/2013,01/15/2013,0800,09,Van Nuys,0904,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0344 1300,27,F,O,203,OTHER BUSINESS,,,IC,Invest Cont,668,,,,7200    SEPULVEDA                    BL,,"(34.2012, -118.4662)"
101927640,12/31/2010,12/30/2010,2100,19,Mission,1964,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,NORDHOFF,TOBIAS,"(34.2354, -118.4517)"
101323794,10/26/2010,10/26/2010,1315,13,Newton,1321,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,21ST,BROADWAY,"(34.0294, -118.2671)"
121207315,02/22/2013,02/13/2013,1200,12,77th Street,1266,440,THEFT PLAIN - PETTY ($950 & UNDER),1300 0701 1402,42,M,H,108,PARKING LOT,,,IC,Invest Cont,440,998,,,82ND,BROADWAY,"(33.9651, -118.2783)"
121215506,06/20/2013,06/07/2013,1200,12,77th Street,1268,763,STALKING,0443 0913 1309,29,M,H,101,STREET,,,AO,Adult Other,763,,,,100 W  82ND                         ST,,"(33.9651, -118.2754)"
121504289,01/06/2013,01/06/2013,2030,15,N Hollywood,1511,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402 0325,12,M,O,404,DEPARTMENT STORE,,,IC,Invest Cont,442,998,,,13000    SHERMAN                      WY,,"(34.2012, -118.416)"
121801608,01/02/2013,01/01/2013,0500,18,Southeast,1823,626,INTIMATE PARTNER - SIMPLE ASSAULT,0334 0443 0408 0416,19,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,626,,,,CENTURY                      BL,AVALON,"(33.9456, -118.2652)"
130100507,01/02/2013,01/02/2013,1420,01,Central,0174,624,BATTERY - SIMPLE ASSAULT,0416 0400 0429,23,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 S  SPRING                       ST,,"(34.0431, -118.2536)"
130100508,01/02/2013,01/02/2013,1430,01,Central,0134,626,INTIMATE PARTNER - SIMPLE ASSAULT,2004 1218 1813 1814 2002 0444 2000,39,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,4TH,HILL,"(34.0503, -118.2504)"
130100509,01/02/2013,01/02/2013,1500,01,Central,0185,624,BATTERY - SIMPLE ASSAULT,0917 0419 0429 0417,18,F,H,406,OTHER STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,624,,,,300 E  PICO                         BL,,"(34.0352, -118.2583)"
130100515,01/05/2013,01/04/2013,1730,01,Central,0162,670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",0344,25,M,B,404,DEPARTMENT STORE,,,IC,Invest Cont,670,,,,700 W  7TH                          ST,,"(34.048, -118.2577)"
130100518,01/05/2013,01/05/2013,0100,01,Central,0171,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,34,F,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,800 W  OLYMPIC                      BL,,"(34.045, -118.264)"
130100519,01/05/2013,01/05/2013,2200,01,Central,0192,649,DOCUMENT FORGERY / STOLEN FELONY,0800,37,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,649,,,,1300 S  FIGUEROA                     ST,,"(34.0407, -118.268)"
130100521,01/05/2013,01/05/2013,1600,01,Central,0156,626,INTIMATE PARTNER - SIMPLE ASSAULT,0305 0400 0429 2000,50,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,6TH                          ST,SAN JULIAN                   ST,"(34.0423, -118.2452)"
130100522,01/15/2013,01/05/2013,2010,01,Central,0133,624,BATTERY - SIMPLE ASSAULT,0400,20,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,200 S  SPRING                       ST,,"(34.0517, -118.2456)"
130100526,01/06/2013,01/06/2013,2315,01,Central,0166,624,BATTERY - SIMPLE ASSAULT,0400 2000,32,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,999,,,600    WALL                         ST,,"(34.0435, -118.2471)"
130100532,01/09/2013,01/09/2013,1120,01,Central,0192,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,18,F,B,701,HOSPITAL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,1300 S  HOPE                         ST,,"(34.0395, -118.2656)"
101009426,04/20/2010,04/20/2010,1230,10,West Valley,1018,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,ARMINTA,GLORIA,"(34.2139, -118.4793)"
130100538,01/12/2013,01/11/2013,1630,01,Central,0119,480,BIKE - STOLEN,0344,30,M,W,732,POST OFFICE,,,AA,Adult Arrest,480,,,,900 N  ALAMEDA                      ST,,"(34.0581, -118.2371)"
130100539,01/12/2013,01/12/2013,1815,01,Central,0105,210,ROBBERY,1218 1310 0344 0400 0352,24,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,BISHOPS,BROADWAY,"(34.0688, -118.2333)"
130100544,01/12/2013,01/12/2013,1930,01,Central,0144,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000 0429,48,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,400 S  MAIN                         ST,,"(34.0482, -118.2472)"
130100545,01/13/2013,01/10/2013,0300,01,Central,0166,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH 0007=02,0507 2004 0503 0519 0516 0501 0506 0400,18,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,821,,,,6TH,SAN JULIAN,"(34.0423, -118.2452)"
130100546,01/13/2013,01/13/2013,0140,01,Central,0171,626,INTIMATE PARTNER - SIMPLE ASSAULT,1402 0416 2000,27,M,H,101,STREET,,,AO,Adult Other,626,998,,,800 W  OLYMPIC                      BL,,"(34.045, -118.264)"
130100547,01/13/2013,01/13/2013,0140,01,Central,0171,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0408,24,F,H,101,STREET,,,AO,Adult Other,626,,,,800 W  OLYMPIC                      BL,,"(34.045, -118.264)"
130100548,01/13/2013,01/13/2013,1225,01,Central,0134,220,ATTEMPTED ROBBERY,0432 0355 0421 0319 0906,45,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,220,,,,3RD,BROADWAY,"(34.051, -118.248)"
130100550,01/18/2013,01/16/2013,1340,01,Central,0111,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 0419,50,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,800    YALE                         ST,,"(34.0632, -118.2408)"
130100552,01/16/2013,01/16/2013,1900,01,Central,0138,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1202 1307,60,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,BOYD,WALL                         ST,"(34.0467, -118.2427)"
130100554,01/16/2013,01/16/2013,2110,01,Central,0159,437,RESISTING ARREST,1402 2004 1212,,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,437,998,,,4TH                          ST,MOLINO                       ST,"(34.043, -118.2341)"
130100558,01/18/2013,01/18/2013,1800,01,Central,0166,888,TRESPASSING,1402 0344 1218 0306,45,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,888,,,,600 S  SAN PEDRO                    ST,,"(34.0423, -118.2452)"
130100561,01/19/2013,01/17/2013,2200,01,Central,0162,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",1402 0344 0104,40,M,W,402,MARKET,,,IC,Invest Cont,341,998,,,600 W  9TH                          ST,,"(34.0451, -118.2604)"
130100564,01/20/2013,01/20/2013,1430,01,Central,0135,210,ROBBERY,0326 0325 0344 0400 1300 1402,,F,H,201,JEWELRY STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,998,,,2ND,LOS ANGELES,"(34.0503, -118.2433)"
101621795,12/21/2010,12/21/2010,1200,16,Foothill,1653,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,SAN FERNANDO,SUNBURST,"(34.255, -118.4103)"
130100565,01/20/2013,01/18/2013,1700,01,Central,0182,660,COUNTERFEIT,0344 1402,23,M,H,102,SIDEWALK,,,IC,Invest Cont,660,998,,,500 W  OLYMPIC                      BL,,"(34.043, -118.2606)"
101105990,02/04/2010,02/03/2010,1800,11,Northeast,1115,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,YOSEMITE,EAGLE ROCK,"(34.1351, -118.2153)"
130100566,01/20/2013,01/20/2013,1855,01,Central,0111,624,BATTERY - SIMPLE ASSAULT,0429 0305 0400,,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,900 N  BROADWAY,,"(34.064, -118.2375)"
130100569,01/22/2013,01/21/2013,1055,01,Central,0147,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0416,46,M,W,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,4TH,SAN PEDRO,"(34.0458, -118.243)"
130100571,01/22/2013,01/21/2013,2105,01,Central,0111,647,THROWING OBJECT AT MOVING VEHICLE,,22,M,W,101,STREET,,,IC,Invest Cont,647,,,,900 W  SUNSET                       BL,,"(34.0627, -118.2463)"
130100572,01/22/2013,01/21/2013,2015,01,Central,0166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 2004,49,F,B,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,7TH,WALL,"(34.0412, -118.2474)"
